,unique_id,forecast_month,forecast_data,forecast_quantity
0,AWC Logo Cap_Advanced Bike Components_Texas,1,2014-06-01,12.0
1,AWC Logo Cap_Advanced Bike Components_Texas,2,2014-07-01,12.0
2,AWC Logo Cap_Advanced Bike Components_Texas,3,2014-08-01,12.0
3,AWC Logo Cap_Area Bike Accessories_California,1,2014-06-01,5.0
4,AWC Logo Cap_Area Bike Accessories_California,2,2014-07-01,5.0
5,AWC Logo Cap_Area Bike Accessories_California,3,2014-08-01,5.0
6,AWC Logo Cap_Better Bike Shop_Georgia,1,2014-06-01,3.0
7,AWC Logo Cap_Better Bike Shop_Georgia,2,2014-07-01,3.0
8,AWC Logo Cap_Better Bike Shop_Georgia,3,2014-08-01,3.0
9,AWC Logo Cap_Bike Dealers Association_New Mexico,1,2014-06-01,12.0
10,AWC Logo Cap_Bike Dealers Association_New Mexico,2,2014-07-01,12.0
11,AWC Logo Cap_Bike Dealers Association_New Mexico,3,2014-08-01,12.0
12,AWC Logo Cap_Bikes and Motorbikes_Canada,1,2014-06-01,16.0
13,AWC Logo Cap_Bikes and Motorbikes_Canada,2,2014-07-01,16.0
14,AWC Logo Cap_Bikes and Motorbikes_Canada,3,2014-08-01,16.0
15,AWC Logo Cap_Brightwork Company_Nevada,1,2014-06-01,4.0
16,AWC Logo Cap_Brightwork Company_Nevada,2,2014-07-01,4.0
17,AWC Logo Cap_Brightwork Company_Nevada,3,2014-08-01,4.0
18,AWC Logo Cap_Bulk Discount Store_United Kingdom,1,2014-06-01,1.0
19,AWC Logo Cap_Bulk Discount Store_United Kingdom,2,2014-07-01,1.0
20,AWC Logo Cap_Bulk Discount Store_United Kingdom,3,2014-08-01,1.0
21,AWC Logo Cap_Citywide Service and Repair_Canada,1,2014-06-01,12.0
22,AWC Logo Cap_Citywide Service and Repair_Canada,2,2014-07-01,12.0
23,AWC Logo Cap_Citywide Service and Repair_Canada,3,2014-08-01,12.0
24,AWC Logo Cap_Commerce Bicycle Specialists_United Kingdom,1,2014-06-01,1.0
25,AWC Logo Cap_Commerce Bicycle Specialists_United Kingdom,2,2014-07-01,1.0
26,AWC Logo Cap_Commerce Bicycle Specialists_United Kingdom,3,2014-08-01,1.0
27,AWC Logo Cap_Consolidated Sales_South Carolina,1,2014-06-01,2.0
28,AWC Logo Cap_Consolidated Sales_South Carolina,2,2014-07-01,2.0
29,AWC Logo Cap_Consolidated Sales_South Carolina,3,2014-08-01,2.0
30,AWC Logo Cap_Corner Bicycle Supply_Canada,1,2014-06-01,7.0
31,AWC Logo Cap_Corner Bicycle Supply_Canada,2,2014-07-01,7.0
32,AWC Logo Cap_Corner Bicycle Supply_Canada,3,2014-08-01,7.0
33,AWC Logo Cap_Discount Tours_California,1,2014-06-01,3.0
