nome_produto,nome_cliente,regiao,ano,mes,data_base,quantidade
"Mountain-100 Silver, 44",Safe Toys,New Mexico,2012,1,2012-01-29,3
"Mountain-100 Silver, 42",Safe Toys,New Mexico,2012,1,2012-01-29,1
"Mountain-100 Black, 38",Safe Toys,New Mexico,2012,1,2012-01-29,3
"Mountain-100 Silver, 48",Safe Toys,New Mexico,2012,1,2012-01-29,2
"Mountain-100 Black, 44",Safe Toys,New Mexico,2012,1,2012-01-29,6
"Mountain-100 Silver, 48",Safe Toys,New Mexico,2011,8,2011-08-01,4
"Mountain-100 Black, 38",Safe Toys,New Mexico,2011,8,2011-08-01,3
"Mountain-100 Silver, 42",Safe Toys,New Mexico,2011,8,2011-08-01,2
"Mountain-100 Silver, 44",Safe Toys,New Mexico,2011,8,2011-08-01,5
"Mountain-100 Black, 44",Safe Toys,New Mexico,2011,8,2011-08-01,5
"Mountain-100 Silver, 48",Safe Toys,New Mexico,2012,4,2012-04-30,2
"Mountain-100 Silver, 42",Safe Toys,New Mexico,2012,4,2012-04-30,3
"Mountain-100 Silver, 38",Safe Toys,New Mexico,2012,4,2012-04-30,5
"Mountain-100 Black, 38",Safe Toys,New Mexico,2012,4,2012-04-30,3
"Mountain-100 Silver, 38",Safe Toys,New Mexico,2011,10,2011-10-31,2
"Mountain-100 Black, 38",Safe Toys,New Mexico,2011,10,2011-10-31,5
"Mountain-100 Silver, 42",Safe Toys,New Mexico,2011,10,2011-10-31,4
"Mountain-100 Silver, 48",Safe Toys,New Mexico,2011,10,2011-10-31,6
"Mountain-200 Silver, 42",Bike World,California,2012,10,2012-10-30,2
"Full-Finger Gloves, S",Bike World,California,2012,10,2012-10-30,7
AWC Logo Cap,Bike World,California,2012,10,2012-10-30,1
"Mountain-200 Black, 42",Bike World,California,2012,10,2012-10-30,3
"Long-Sleeve Logo Jersey, L",Bike World,California,2012,10,2012-10-30,6
"Full-Finger Gloves, L",Bike World,California,2012,10,2012-10-30,15
"Women's Tights, S",Bike World,California,2012,10,2012-10-30,5
"Mountain-200 Black, 38",Bike World,California,2012,10,2012-10-30,4
"Full-Finger Gloves, M",Bike World,California,2012,10,2012-10-30,2
"Women's Mountain Shorts, M",Bike World,California,2013,7,2013-07-31,8
"Classic Vest, S",Bike World,California,2013,7,2013-07-31,3
"Mountain-200 Black, 38",Bike World,California,2013,7,2013-07-31,3
"Women's Mountain Shorts, L",Bike World,California,2013,7,2013-07-31,15
Water Bottle - 30 oz.,Bike World,California,2013,7,2013-07-31,3
"Long-Sleeve Logo Jersey, L",Bike World,California,2013,7,2013-07-31,7
"Short-Sleeve Classic Jersey, XL",Bike World,California,2013,7,2013-07-31,3
"Sport-100 Helmet, Black",Bike World,California,2013,7,2013-07-31,5
"Women's Mountain Shorts, S",Bike World,California,2013,7,2013-07-31,7
